date,open,high,low,close,volume
2025-04-21,145.8,145.8,142.53,143.98,411770
2025-04-22,145.72,147.98,145.56,147.38,260045
2025-04-23,150.3,151.62,148.855,149.22,823627
2025-04-24,149.76,152.15,149.4,152.1,149235
2025-04-25,151.98,153.09,151.47,153.05,283124
2025-04-28,153.24,153.76,151.99,153.45,502842
2025-04-29,152.95,154.47,152.95,154.18,275436
2025-04-30,152.61,154.67,151.1975,154.28,639130
2025-05-01,155.41,156.13,154.63,154.78,178866
2025-05-02,156.66,157.59,156.28,157.21,174969
2025-05-05,156.54,157.42,156.31,156.63,286459
2025-05-06,155.48,156.66,155.26,155.71,344710
2025-05-07,155.86,156.6,155.05,156.03,258155
2025-05-08,156.97,157.9291,156.11,156.62,308816
2025-05-09,157.3,157.49,156.375,156.78,366450
2025-05-12,160.38,160.64,159.23,160.63,364663
2025-05-13,160.77,162.1,160.69,161.62,298851
2025-05-14,161.86,162.105,161.15,161.62,439351
2025-05-15,161.46,162.66,161.29,162.51,698591
2025-05-16,162.66,163.53,162.2365,163.51,603059
2025-05-19,162.21,164.01,162.21,163.93,467439
2025-05-20,163.77,163.999,163.07,163.76,691007
2025-05-21,162.94,163.9,161.38,161.61,448422
2025-05-22,161.21,162.39,161.16,161.49,233242
2025-05-23,159.73,161.47,159.63,160.96,204202
2025-05-27,162.85,163.97,162.52,163.83,324816
2025-05-28,163.61,163.85,162.61,162.77,250036
2025-05-29,164,164,162.415,163.35,339787
2025-05-30,163.26,163.74,161.91,163.31,596483
2025-06-02,163.11,164.56,162.5517,164.45,155322
2025-06-03,164,165.13,163.82,164.92,496228
2025-06-04,165.23,165.61,165.02,165.12,333304
2025-06-05,165.61,165.8222,164.04,164.44,260147
2025-06-06,165.76,166.17,165.37,165.85,189327
2025-06-09,166.03,166.37,165.61,165.93,299535
2025-06-10,166.2,166.67,165.685,166.55,176129
2025-06-11,166.96,167.13,165.87,166.17,121928
2025-06-12,166.19,167.02,166.09,166.97,274583
2025-06-13,165.3,166.27,164.6938,165,394571
2025-06-16,164.89,165.95,164.79,165.16,349189
2025-06-17,164.52,164.8,163.46,163.64,222144
2025-06-18,163.97,164.64,163.45,163.68,277899
2025-06-20,164.26,164.34,162.78,163.02,434113
2025-06-23,162.8,164.55,162.42,164.49,259815
2025-06-24,165.68,166.6296,165.49,166.41,643558
2025-06-25,166.32,166.405,165.8,166.12,199181
2025-06-26,166.91,167.75,166.72,167.7,203504
2025-06-27,168.22,169.03,167.61,168.59,184301
2025-06-30,168.99,169.6198,168.66,169.38,311151
2025-07-01,168.88,169.38,168.59,169.15,593520
2025-07-02,168.92,169.87,168.82,169.87,385624
2025-07-03,170.18,171.02,170.18,170.87,153160
2025-07-07,170.15,170.33,168.79,169.47,298554
2025-07-08,169.65,169.97,169.27,169.56,316022
2025-07-09,170.27,170.735,169.82,170.7,220040
2025-07-10,170.64,171.21,170.26,171.03,201882
2025-07-11,170.02,170.4,169.755,170.11,172219
2025-07-14,169.82,170.5704,169.69,170.46,347315
2025-07-15,171.03,171.03,169.41,169.47,286374
2025-07-16,169.75,170.149,168.55,170,307546
2025-07-17,169.98,170.96,169.83,170.95,286737
2025-07-18,171.52,171.52,170.51,170.81,329407
2025-07-21,171.15,171.98,171.12,171.22,218917
2025-07-22,171.32,171.66,170.61,171.52,588162
2025-07-23,172.62,173.57,172.24,173.49,437278
2025-07-24,173.52,173.705,173.25,173.35,985584
2025-07-25,173.07,173.86,173.01,173.75,216394
2025-07-28,173.43,173.51,172.67,173,211477
2025-07-29,173.29,173.4,172.4049,172.63,215646
2025-07-30,172.65,172.99,171.38,172.14,519736
2025-07-31,173,173.0516,170.91,171.1,719269
2025-08-01,169.88,169.88,168.23,168.96,361513
2025-08-04,170.26,171.81,170.26,171.42,98959
2025-08-05,171.57,171.84,170.53,170.84,169857
2025-08-06,171.31,172.4,171.13,172.19,311723
2025-08-07,173.35,173.51,171.64,172.35,238346
2025-08-08,173,173.78,172.92,173.63,255170
2025-08-11,173.51,173.9,172.905,173.1,161416
2025-08-12,173.81,175.125,173.61,175.12,274059
2025-08-13,175.73,175.96,175.2,175.77,155929
2025-08-14,175.17,175.77,175.085,175.6,112884
2025-08-15,176.23,176.23,175.54,175.72,115452
2025-08-18,175.51,175.7,175.28,175.52,129948
2025-08-19,175.69,175.915,174.57,174.79,226166
2025-08-20,174.87,174.87,173.5,174.67,169258
2025-08-21,174.05,174.47,173.51,173.96,550814
2025-08-22,174.55,176.9,174.37,176.56,264676
2025-08-25,176.22,176.3,175.42,175.49,275070
2025-08-26,175.23,176.05,175.075,175.94,382216
2025-08-27,175.52,176.32,175.46,176.21,157610
2025-08-28,176.46,176.98,176.13,176.92,159129
2025-08-29,176.39,176.4599,175.43,175.88,419077
2025-09-02,173.67,174.57,173.17,174.55,222580
2025-09-03,174.96,175.38,174.548,175.2,164646
2025-09-04,175.54,176.68,175.31,176.66,192891
2025-09-05,177.48,177.8,175.59,176.43,176430
2025-09-08,177.19,177.45,176.83,177.26,282655
2025-09-09,177.19,177.61,176.74,177.56,133676
2025-09-10,178.31,178.52,177.45,177.86,202534
2025-09-11,178.43,179.5655,178.43,179.47,131698
2025-09-12,179.26,179.62,178.9701,179.25,269162
2025-09-15,179.87,180.3,179.845,180.18,220609
2025-09-16,180.39,180.3951,179.665,180.01,111588
2025-09-17,179.9,180.47,178.5,179.56,185102
2025-09-18,180.26,180.995,179.79,180.5,153492
2025-09-19,180.82,181.165,180.205,181.04,174997
2025-09-22,180.62,181.885,180.555,181.71,161718
2025-09-23,181.88,182.07,180.6685,180.97,140527
2025-09-24,180.99,181.06,179.88,180.16,97583
2025-09-25,179.11,179.5,178.5,179.34,523003
2025-09-26,179.68,180.39,179.4,180.3,184745
2025-09-29,180.98,181.21,180.51,180.93,244539
2025-09-30,180.74,181.67,180.47,181.56,180850
2025-10-01,181.17,182.56,181.14,182.36,197580
2025-10-02,182.89,182.94,181.9,182.64,275014
2025-10-03,183.11,183.7789,182.68,183.01,298567
2025-10-06,183.66,183.9099,183.16,183.61,116091
2025-10-07,183.64,183.84,182.4,182.62,201699
2025-10-08,183.05,183.58,182.85,183.52,729673
2025-10-09,183.67,183.7699,182.25,182.67,354447
2025-10-10,182.89,183.19,178.12,178.2,303928
2025-10-13,179.91,181.02,179.76,180.65,163892
2025-10-14,179.09,181.48,178.39,180.77,304779
2025-10-15,181.88,182.67,180.2,181.51,167926
2025-10-16,182.27,182.62,180.1,180.88,3485170
2025-10-17,180.38,181.886,180.06,181.64,373044
2025-10-20,182.47,183.43,182.47,183.24,1567099
2025-10-21,183.04,183.31,182.575,182.86,213239
2025-10-22,182.92,182.995,180.94,181.99,586397
2025-10-23,182.3,183.38,182.27,183.16,130573
2025-10-24,184.16,184.61,184.03,184.29,146428
2025-10-27,185.63,186.29,185.5701,186.26,102523
2025-10-28,186.46,187.07,186.1101,186.64,267097
2025-10-29,186.88,187.01,185.3,186.21,232733
2025-10-30,185.28,185.89,184.62,184.65,140851
2025-10-31,185.58,185.6012,184.2875,185.03,582675
2025-11-03,185.86,185.86,184.43,185.36,134759
2025-11-04,183.28,184.28,182.87,183.08,280791
2025-11-05,183.12,184.59,182.91,183.91,166424
2025-11-06,183.78,183.93,181.89,182.17,749040
2025-11-07,181.55,182.6,180.13,182.56,1215883
2025-11-10,184.13,185.39,183.64,185.17,353281
2025-11-11,185.07,185.97,184.86,185.76,194926
2025-11-12,186.43,186.48,185.77,186.24,373465
2025-11-13,185.53,185.585,182.94,183.23,320944
2025-11-14,181.68,184.02,181.2,183.19,233704
2025-11-17,182.4,183.37,180.445,181.28,496646
2025-11-18,180.02,180.78,178.57,179.77,229212
2025-11-19,179.75,181.18,179.12,180.06,208668
2025-11-20,182.47,183.08,177.23,177.3,396755
2025-11-21,178.23,180.44,177.155,179.18,893457
2025-11-24,179.98,181.57,179.61,181.16,886012
2025-11-25,181.47,183.42,180.49,183.22,820854
2025-11-26,183.95,185.09,183.8,184.73,468986
2025-11-28,184.9,185.775,184.84,185.66,413601
2025-12-01,184.57,185.55,184.57,184.83,363099
2025-12-02,185.32,185.69,184.76,185.28,466679
2025-12-03,185.18,186.25,184.95,186.06,209969
2025-12-04,186.63,186.63,185.69,186.25,372781
2025-12-05,186.76,187.34,186.34,186.58,277984
2025-12-08,186.86,186.86,185.57,185.91,391018
2025-12-09,185.9,186.51,185.76,185.88,251227
2025-12-10,185.86,187.6,185.55,187.13,1259241
2025-12-11,187.03,187.952,186.33,187.85,498651
2025-12-12,187.8,187.9,185.43,186.09,295962
2025-12-15,187.36,187.36,185.93,186.26,1077073
2025-12-16,184.33,184.7299,183.27,184.19,397428
2025-12-17,184.21,184.39,182.23,182.29,558204
2025-12-18,183.94,184.72,183.37,183.67,258792
2025-12-19,184.34,185.46,184.22,185.18,921938
2025-12-22,185.95,186.369,185.69,186.29,443692
2025-12-23,186.34,187.26,186.34,187.21,206893
2025-12-24,187.25,187.85,187.13,187.72,163523
2025-12-26,187.96,188,187.48,187.81,309119
2025-12-29,187.04,187.49,186.68,187.1,683994
2025-12-30,187.21,187.48,186.93,187.01,333728
2025-12-31,187.05,187.05,185.67,185.77,211089
2026-01-02,187.21,187.2293,185.59,186.51,307484
2026-01-05,187.33,188.32,187.33,188.01,508811
2026-01-06,188.13,189.08,188.08,188.98,466210
2026-01-07,188.885,189.24,188.14,188.22,314562
2026-01-08,187.94,188.33,187.65,188.24,490386
2026-01-09,188.7,189.77,188.31,189.53,650021
2026-01-12,189.03,190.125,189.03,190.05,638370
2026-01-13,190.06,190.09,188.95,189.53,260872
2026-01-14,189.01,189.28,188.04,188.93,232307
2026-01-15,190,190.07,189.08,189.25,246769
2026-01-16,189.65,189.81,188.76,189.21,249795
2026-01-20,186.61,187.39,185.49,185.64,411279
2026-01-21,186.35,188.545,185.86,187.66,502974
