date,open,high,low,close,volume
2024-12-09,0.63997,0.64715,0.63799,0.643755,
2024-12-10,0.64376,0.643805,0.63655,0.637565,
2024-12-11,0.63756,0.638935,0.633675,0.638235,
2024-12-12,0.638245,0.64295,0.636115,0.637125,
2024-12-13,0.637135,0.638375,0.635195,0.63612,
2024-12-15,0.635285,0.63685,0.635205,0.636695,
2024-12-16,0.636705,0.638285,0.634525,0.63766,
2024-12-17,0.637655,0.637795,0.63318,0.633925,
2024-12-18,0.63392,0.63392,0.620015,0.620515,
2024-12-19,0.62051,0.626535,0.619925,0.62311,
2024-12-20,0.623105,0.62745,0.6215,0.625115,
2024-12-22,0.625755,0.625855,0.62481,0.62546,
2024-12-23,0.625465,0.626505,0.621895,0.62435,
2024-12-24,0.624345,0.62487,0.622465,0.624535,
2024-12-25,0.624625,0.624715,0.62326,0.62435,
2024-12-26,0.62435,0.625435,0.62154,0.62233,
2024-12-27,0.622325,0.622605,0.620065,0.621635,
2024-12-29,0.621895,0.62344,0.62141,0.622505,
2024-12-30,0.622495,0.62469,0.620195,0.621805,
2024-12-31,0.62181,0.623175,0.61792,0.618815,
2025-01-01,0.618775,0.619455,0.618325,0.61936,
2025-01-02,0.619355,0.622285,0.618845,0.62011,
2025-01-03,0.620115,0.622545,0.61981,0.62168,
2025-01-05,0.621275,0.622475,0.62076,0.622085,
2025-01-06,0.62208,0.630225,0.621895,0.623825,
2025-01-07,0.62384,0.628825,0.622815,0.623415,
2025-01-08,0.62342,0.624225,0.61876,0.621095,
2025-01-09,0.621105,0.621315,0.617215,0.618965,
2025-01-10,0.61897,0.620615,0.613955,0.61456,
2025-01-12,0.61506,0.615875,0.61422,0.615385,
2025-01-13,0.615375,0.62031,0.613125,0.619105,
2025-01-14,0.619115,0.62074,0.61662,0.619105,
2025-01-15,0.6191,0.624665,0.618135,0.623545,
2025-01-16,0.623555,0.62465,0.61923,0.620995,
2025-01-17,0.62099,0.622745,0.61645,0.61922,
2025-01-19,0.61996,0.620065,0.61901,0.619745,
2025-01-20,0.61975,0.628665,0.619685,0.62806,
2025-01-21,0.628065,0.628895,0.620825,0.626195,
2025-01-22,0.626205,0.629565,0.625305,0.627295,
2025-01-23,0.6273,0.629975,0.625535,0.628295,
2025-01-24,0.6283,0.633075,0.62787,0.63151,
2025-01-26,0.63062,0.630635,0.62911,0.629345,
2025-01-27,0.629355,0.63079,0.62569,0.625955,
2025-01-28,0.62595,0.627415,0.62369,0.625155,
2025-01-29,0.62515,0.62559,0.621025,0.623945,
2025-01-30,0.62394,0.624355,0.6199,0.621405,
2025-01-31,0.6214,0.626275,0.620405,0.621025,
2025-02-02,0.615715,0.61683,0.613755,0.614195,
2025-02-03,0.614205,0.623755,0.608775,0.62176,
2025-02-04,0.621755,0.62622,0.617065,0.62495,
2025-02-05,0.624955,0.629695,0.624035,0.628395,
2025-02-06,0.628415,0.628815,0.625535,0.628135,
2025-02-07,0.62814,0.63016,0.625335,0.6274,
2025-02-09,0.62388,0.626105,0.623815,0.625815,
2025-02-10,0.62581,0.628745,0.625245,0.627015,
2025-02-11,0.627025,0.63019,0.62606,0.629685,
2025-02-12,0.629695,0.630955,0.623525,0.628175,
2025-02-13,0.628195,0.632295,0.625485,0.63165,
2025-02-14,0.63166,0.636785,0.631045,0.63524,
2025-02-16,0.63477,0.635685,0.634725,0.63564,
2025-02-17,0.635635,0.637395,0.635125,0.635535,
2025-02-18,0.63554,0.63679,0.633475,0.635235,
